;vars1;vars2;cramer_corr;actuacion;nivel;Identificador_pregunta
1313;ycov;nlid;0,051903;Liderazgo y trabajo en equipo;nosotros 1;nlid
1314;yequ;nlid;0,035834;Liderazgo y trabajo en equipo;nosotros 1;nlid
1315;yrec;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1316;educacion;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1317;antigüedad en el cargo;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1318;edad;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1319;ycox;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1320;yret;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1321;antigüedad en la organización;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1322;ysup;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1323;area;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1324;nivel del cargo;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1325;genero;nlid;0,0;Liderazgo y trabajo en equipo;nosotros 1;nlid
1326;tada;ttom;0,431474;Toma de decisiones;todos 1;ttom
1327;tinn;ttom;0,406176;Toma de decisiones;todos 1;ttom
1328;nnlid;ttom;0,388394;Toma de decisiones;todos 1;ttom
1329;tlid;ttom;0,370344;Toma de decisiones;todos 1;ttom
1330;nncox;ttom;0,366542;Toma de decisiones;todos 1;ttom
1331;nsup;ttom;0,324306;Toma de decisiones;todos 1;ttom
1332;nnemp;ttom;0,314282;Toma de decisiones;todos 1;ttom
1333;trit;ttom;0,312371;Toma de decisiones;todos 1;ttom
1334;tequ;ttom;0,311314;Toma de decisiones;todos 1;ttom
1335;tent;ttom;0,30369;Toma de decisiones;todos 1;ttom
1336;tpro;ttom;0,294119;Toma de decisiones;todos 1;ttom
1337;tret;ttom;0,287628;Toma de decisiones;todos 1;ttom
1338;tcom;ttom;0,283895;Toma de decisiones;todos 1;ttom
1339;nlid;ttom;0,280801;Toma de decisiones;todos 1;ttom
1340;ntom;ttom;0,278671;Toma de decisiones;todos 1;ttom
1341;nnpro;ttom;0,276452;Toma de decisiones;todos 1;ttom
1342;nnret;ttom;0,270883;Toma de decisiones;todos 1;ttom
1343;educacion;ttom;0,266222;Toma de decisiones;todos 1;ttom
1344;nret;ttom;0,264691;Toma de decisiones;todos 1;ttom
1345;tcox;ttom;0,252995;Toma de decisiones;todos 1;ttom
1346;norg;ttom;0,250479;Toma de decisiones;todos 1;ttom
1347;nemp;ttom;0,24994;Toma de decisiones;todos 1;ttom
1348;torg;ttom;0,247813;Toma de decisiones;todos 1;ttom
1349;trec;ttom;0,243729;Toma de decisiones;todos 1;ttom
1350;nnorg;ttom;0,232517;Toma de decisiones;todos 1;ttom
1351;nnrit;ttom;0,23165;Toma de decisiones;todos 1;ttom
1352;yada;ttom;0,231187;Toma de decisiones;todos 1;ttom
1353;tcov;ttom;0,230613;Toma de decisiones;todos 1;ttom
1354;nrec;ttom;0,229184;Toma de decisiones;todos 1;ttom
1355;nada;ttom;0,228237;Toma de decisiones;todos 1;ttom
1356;ycom;ttom;0,226514;Toma de decisiones;todos 1;ttom
1357;nent;ttom;0,225997;Toma de decisiones;todos 1;ttom
1358;nrel;ttom;0,221446;Toma de decisiones;todos 1;ttom
1359;nrit;ttom;0,220102;Toma de decisiones;todos 1;ttom
1360;tcon;ttom;0,218851;Toma de decisiones;todos 1;ttom
1361;tpay;ttom;0,215055;Toma de decisiones;todos 1;ttom
1362;nnsup;ttom;0,20839;Toma de decisiones;todos 1;ttom
1363;ypay;ttom;0,190896;Toma de decisiones;todos 1;ttom
1364;nncom;ttom;0,189465;Toma de decisiones;todos 1;ttom
1365;ncom;ttom;0,185351;Toma de decisiones;todos 1;ttom
1366;nninn;ttom;0,184083;Toma de decisiones;todos 1;ttom
1367;ylid;ttom;0,182074;Toma de decisiones;todos 1;ttom
1368;nnpay;ttom;0,180062;Toma de decisiones;todos 1;ttom
1369;nnrec;ttom;0,179557;Toma de decisiones;todos 1;ttom
1370;ninn;ttom;0,178335;Toma de decisiones;todos 1;ttom
1371;npay;ttom;0,175732;Toma de decisiones;todos 1;ttom
1372;ncon;ttom;0,17378;Toma de decisiones;todos 1;ttom
1373;nnada;ttom;0,170262;Toma de decisiones;todos 1;ttom
1374;ncov;ttom;0,169488;Toma de decisiones;todos 1;ttom
1375;ysup;ttom;0,162558;Toma de decisiones;todos 1;ttom
1376;npro;ttom;0,142646;Toma de decisiones;todos 1;ttom
1377;yrel;ttom;0,130187;Toma de decisiones;todos 1;ttom
1378;ycon;ttom;0,111468;Toma de decisiones;todos 1;ttom
1379;nncon;ttom;0,108311;Toma de decisiones;todos 1;ttom
1380;yrec;ttom;0,106933;Toma de decisiones;todos 1;ttom
1381;nntom;ttom;0,106926;Toma de decisiones;todos 1;ttom
1382;nnequ;ttom;0,100958;Toma de decisiones;todos 1;ttom
1383;yequ;ttom;0,090523;Toma de decisiones;todos 1;ttom
1384;nncov;ttom;0,089488;Toma de decisiones;todos 1;ttom
1385;area;ttom;0,08808;Toma de decisiones;todos 1;ttom
1386;nequ;ttom;0,079748;Toma de decisiones;todos 1;ttom
1387;yrit;ttom;0,077337;Toma de decisiones;todos 1;ttom
1388;yemp;ttom;0,071495;Toma de decisiones;todos 1;ttom
1389;antigüedad en el cargo;ttom;0,070637;Toma de decisiones;todos 1;ttom
1390;yent;ttom;0,064684;Toma de decisiones;todos 1;ttom
1391;edad;ttom;0,044594;Toma de decisiones;todos 1;ttom
1392;ytom;ttom;0,039812;Toma de decisiones;todos 1;ttom
1393;genero;ttom;0,034076;Toma de decisiones;todos 1;ttom
1394;antigüedad en la organización;ttom;0,0;Toma de decisiones;todos 1;ttom
1395;yret;ttom;0,0;Toma de decisiones;todos 1;ttom
1396;ypro;ttom;0,0;Toma de decisiones;todos 1;ttom
1397;yorg;ttom;0,0;Toma de decisiones;todos 1;ttom
1398;ycox;ttom;0,0;Toma de decisiones;todos 1;ttom
1399;yinn;ttom;0,0;Toma de decisiones;todos 1;ttom
1400;nivel del cargo;ttom;0,0;Toma de decisiones;todos 1;ttom
1401;estado civil;ttom;0,0;Toma de decisiones;todos 1;ttom
1402;nnrel;ttom;0,0;Toma de decisiones;todos 1;ttom
1403;hijos;ttom;0,0;Toma de decisiones;todos 1;ttom
1404;ncox;ttom;0,0;Toma de decisiones;todos 1;ttom
1405;nnent;ttom;0,0;Toma de decisiones;todos 1;ttom
1406;ycov;ttom;0,0;Toma de decisiones;todos 1;ttom
1407;tlid;trit;0,424535;Rituales;todos 1;trit
1408;nncom;trit;0,409744;Rituales;todos 1;trit
1409;nrel;trit;0,399138;Rituales;todos 1;trit
1410;nnpay;trit;0,373357;Rituales;todos 1;trit
1411;nent;trit;0,363712;Rituales;todos 1;trit
1412;trec;trit;0,3628;Rituales;todos 1;trit
1413;nncox;trit;0,360951;Rituales;todos 1;trit
1414;tpro;trit;0,360444;Rituales;todos 1;trit
1415;tcon;trit;0,353583;Rituales;todos 1;trit
1416;nnrec;trit;0,342629;Rituales;todos 1;trit
1417;nsup;trit;0,340361;Rituales;todos 1;trit
1418;torg;trit;0,335599;Rituales;todos 1;trit
1419;ncom;trit;0,334881;Rituales;todos 1;trit
1420;nrit;trit;0,326102;Rituales;todos 1;trit
1421;nlid;trit;0,322627;Rituales;todos 1;trit
1422;nnrit;trit;0,320404;Rituales;todos 1;trit
1423;nnemp;trit;0,315766;Rituales;todos 1;trit
1424;ntom;trit;0,311551;Rituales;todos 1;trit
1425;nnpro;trit;0,311013;Rituales;todos 1;trit
1426;nnlid;trit;0,308726;Rituales;todos 1;trit
1427;tret;trit;0,298297;Rituales;todos 1;trit
1428;nemp;trit;0,293237;Rituales;todos 1;trit
1429;nret;trit;0,288485;Rituales;todos 1;trit
1430;norg;trit;0,283507;Rituales;todos 1;trit
1431;ncov;trit;0,27275;Rituales;todos 1;trit
1432;nnsup;trit;0,272168;Rituales;todos 1;trit
1433;ncon;trit;0,267283;Rituales;todos 1;trit
1434;nncon;trit;0,262569;Rituales;todos 1;trit
1435;nrec;trit;0,255557;Rituales;todos 1;trit
1436;tequ;trit;0,253138;Rituales;todos 1;trit
1437;ylid;trit;0,250086;Rituales;todos 1;trit
1438;nnada;trit;0,242021;Rituales;todos 1;trit
1439;tpay;trit;0,238867;Rituales;todos 1;trit
1440;ncox;trit;0,232697;Rituales;todos 1;trit
1441;nnorg;trit;0,232506;Rituales;todos 1;trit
1442;ninn;trit;0,229671;Rituales;todos 1;trit
1443;nntom;trit;0,2234;Rituales;todos 1;trit
1444;nnequ;trit;0,218738;Rituales;todos 1;trit
1445;nada;trit;0,209064;Rituales;todos 1;trit
1446;nnret;trit;0,206922;Rituales;todos 1;trit
1447;nequ;trit;0,202949;Rituales;todos 1;trit
1448;npro;trit;0,200776;Rituales;todos 1;trit
1449;tcox;trit;0,19388;Rituales;todos 1;trit
1450;npay;trit;0,192405;Rituales;todos 1;trit
1451;ycom;trit;0,190051;Rituales;todos 1;trit
1452;yrit;trit;0,165593;Rituales;todos 1;trit
1453;yrec;trit;0,165408;Rituales;todos 1;trit
1454;nninn;trit;0,16215;Rituales;todos 1;trit
1455;yent;trit;0,141795;Rituales;todos 1;trit
1456;nnent;trit;0,14095;Rituales;todos 1;trit
1457;yemp;trit;0,127229;Rituales;todos 1;trit
1458;ycov;trit;0,115535;Rituales;todos 1;trit
1459;ytom;trit;0,100666;Rituales;todos 1;trit
1460;ysup;trit;0,094745;Rituales;todos 1;trit
1461;nnrel;trit;0,080805;Rituales;todos 1;trit
1462;yret;trit;0,079414;Rituales;todos 1;trit
1463;educacion;trit;0,07005;Rituales;todos 1;trit
1464;nncov;trit;0,067156;Rituales;todos 1;trit
1465;hijos;trit;0,063966;Rituales;todos 1;trit
1466;area;trit;0,056169;Rituales;todos 1;trit
1467;yequ;trit;0,005975;Rituales;todos 1;trit
1468;antigüedad en la organización;trit;0,0;Rituales;todos 1;trit
1469;antigüedad en el cargo;trit;0,0;Rituales;todos 1;trit
1470;ypro;trit;0,0;Rituales;todos 1;trit
1471;yorg;trit;0,0;Rituales;todos 1;trit
1472;ycox;trit;0,0;Rituales;todos 1;trit
1473;ypay;trit;0,0;Rituales;todos 1;trit
1474;ycon;trit;0,0;Rituales;todos 1;trit
1475;edad;trit;0,0;Rituales;todos 1;trit
1476;yrel;trit;0,0;Rituales;todos 1;trit
1477;nivel del cargo;trit;0,0;Rituales;todos 1;trit
1478;yinn;trit;0,0;Rituales;todos 1;trit
1479;estado civil;trit;0,0;Rituales;todos 1;trit
1480;yada;trit;0,0;Rituales;todos 1;trit
1481;genero;trit;0,0;Rituales;todos 1;trit
1482;tada;ttada;0,423415;Adaptabilidad;todos 2;ttada
1483;torg;ttada;0,366509;Adaptabilidad;todos 2;ttada
1484;tinn;ttada;0,343107;Adaptabilidad;todos 2;ttada
1485;ttinn;ttada;0,32471;Adaptabilidad;todos 2;ttada
1486;educacion;ttada;0,296454;Adaptabilidad;todos 2;ttada
1487;ttcov;ttada;0,24774;Adaptabilidad;todos 2;ttada
1488;tlid;ttada;0,233526;Adaptabilidad;todos 2;ttada
1489;ylid;ttada;0,213052;Adaptabilidad;todos 2;ttada
1490;nada;ttada;0,201525;Adaptabilidad;todos 2;ttada
1491;nrit;ttada;0,198598;Adaptabilidad;todos 2;ttada
1492;nnrec;ttada;0,188415;Adaptabilidad;todos 2;ttada
1493;temp;ttada;0,176007;Adaptabilidad;todos 2;ttada
1494;ttcom;ttada;0,175295;Adaptabilidad;todos 2;ttada
1495;tcom;ttada;0,172351;Adaptabilidad;todos 2;ttada
1496;ttequ;ttada;0,167204;Adaptabilidad;todos 2;ttada
1497;genero;ttada;0,165034;Adaptabilidad;todos 2;ttada
1498;ttom;ttada;0,155975;Adaptabilidad;todos 2;ttada
1499;tsup;ttada;0,15096;Adaptabilidad;todos 2;ttada
1500;ttcon;ttada;0,150607;Adaptabilidad;todos 2;ttada
1501;npay;ttada;0,147663;Adaptabilidad;todos 2;ttada
1502;nnorg;ttada;0,136692;Adaptabilidad;todos 2;ttada
1503;ytom;ttada;0,136239;Adaptabilidad;todos 2;ttada
1504;nncov;ttada;0,135964;Adaptabilidad;todos 2;ttada
1505;yada;ttada;0,134845;Adaptabilidad;todos 2;ttada
1506;yrit;ttada;0,134592;Adaptabilidad;todos 2;ttada
1507;yemp;ttada;0,133723;Adaptabilidad;todos 2;ttada
1508;ypay;ttada;0,133494;Adaptabilidad;todos 2;ttada
1509;nncom;ttada;0,131118;Adaptabilidad;todos 2;ttada
1510;ttpay;ttada;0,13008;Adaptabilidad;todos 2;ttada
1511;ttorg;ttada;0,129912;Adaptabilidad;todos 2;ttada
1512;nnent;ttada;0,12889;Adaptabilidad;todos 2;ttada
1513;nncox;ttada;0,123337;Adaptabilidad;todos 2;ttada
1514;area;ttada;0,121197;Adaptabilidad;todos 2;ttada
1515;hijos;ttada;0,120944;Adaptabilidad;todos 2;ttada
1516;ttrec;ttada;0,1209;Adaptabilidad;todos 2;ttada
1517;nntom;ttada;0,119418;Adaptabilidad;todos 2;ttada
1518;trec;ttada;0,118144;Adaptabilidad;todos 2;ttada
1519;trel;ttada;0,111042;Adaptabilidad;todos 2;ttada
1520;ycov;ttada;0,109784;Adaptabilidad;todos 2;ttada
1521;trit;ttada;0,108834;Adaptabilidad;todos 2;ttada
1522;tpay;ttada;0,105919;Adaptabilidad;todos 2;ttada
1523;nrec;ttada;0,104131;Adaptabilidad;todos 2;ttada
1524;nrel;ttada;0,102812;Adaptabilidad;todos 2;ttada
1525;nncon;ttada;0,102267;Adaptabilidad;todos 2;ttada
1526;nlid;ttada;0,097523;Adaptabilidad;todos 2;ttada
1527;yrel;ttada;0,097129;Adaptabilidad;todos 2;ttada
1528;nninn;ttada;0,096523;Adaptabilidad;todos 2;ttada
1529;nnpro;ttada;0,093902;Adaptabilidad;todos 2;ttada
1530;nret;ttada;0,093082;Adaptabilidad;todos 2;ttada
1531;ycon;ttada;0,090133;Adaptabilidad;todos 2;ttada
1532;nivel del cargo;ttada;0,089749;Adaptabilidad;todos 2;ttada
1533;ncom;ttada;0,089388;Adaptabilidad;todos 2;ttada
1534;ttlid;ttada;0,08821;Adaptabilidad;todos 2;ttada
1535;yinn;ttada;0,08671;Adaptabilidad;todos 2;ttada
1536;ttret;ttada;0,078073;Adaptabilidad;todos 2;ttada
1537;nnrit;ttada;0,077741;Adaptabilidad;todos 2;ttada
1538;nnlid;ttada;0,057082;Adaptabilidad;todos 2;ttada
1539;tcon;ttada;0,053902;Adaptabilidad;todos 2;ttada
1540;norg;ttada;0,053269;Adaptabilidad;todos 2;ttada
1541;ttpro;ttada;0,049802;Adaptabilidad;todos 2;ttada
1542;nsup;ttada;0,049698;Adaptabilidad;todos 2;ttada
1543;nnequ;ttada;0,043023;Adaptabilidad;todos 2;ttada
1544;nequ;ttada;0,031399;Adaptabilidad;todos 2;ttada
1545;ycom;ttada;0,013507;Adaptabilidad;todos 2;ttada
1546;tret;ttada;0,0;Adaptabilidad;todos 2;ttada
1547;ninn;ttada;0,0;Adaptabilidad;todos 2;ttada
1548;antigüedad en la organización;ttada;0,0;Adaptabilidad;todos 2;ttada
1549;npro;ttada;0,0;Adaptabilidad;todos 2;ttada
1550;yret;ttada;0,0;Adaptabilidad;todos 2;ttada
1551;tpro;ttada;0,0;Adaptabilidad;todos 2;ttada
1552;ntom;ttada;0,0;Adaptabilidad;todos 2;ttada
1553;tequ;ttada;0,0;Adaptabilidad;todos 2;ttada
1554;ypro;ttada;0,0;Adaptabilidad;todos 2;ttada
1555;yrec;ttada;0,0;Adaptabilidad;todos 2;ttada
1556;ttcox;ttada;0,0;Adaptabilidad;todos 2;ttada
1557;ttent;ttada;0,0;Adaptabilidad;todos 2;ttada
1558;yorg;ttada;0,0;Adaptabilidad;todos 2;ttada
1559;ttrit;ttada;0,0;Adaptabilidad;todos 2;ttada
1560;ycox;ttada;0,0;Adaptabilidad;todos 2;ttada
1561;nent;ttada;0,0;Adaptabilidad;todos 2;ttada
1562;tcov;ttada;0,0;Adaptabilidad;todos 2;ttada
1563;tent;ttada;0,0;Adaptabilidad;todos 2;ttada
1564;ncov;ttada;0,0;Adaptabilidad;todos 2;ttada
1565;antigüedad en el cargo;ttada;0,0;Adaptabilidad;todos 2;ttada
1566;edad;ttada;0,0;Adaptabilidad;todos 2;ttada
1567;yequ;ttada;0,0;Adaptabilidad;todos 2;ttada
1568;ncon;ttada;0,0;Adaptabilidad;todos 2;ttada
1569;estado civil;ttada;0,0;Adaptabilidad;todos 2;ttada
1570;nnpay;ttada;0,0;Adaptabilidad;todos 2;ttada
1571;nnret;ttada;0,0;Adaptabilidad;todos 2;ttada
1572;nnrel;ttada;0,0;Adaptabilidad;todos 2;ttada
1573;ysup;ttada;0,0;Adaptabilidad;todos 2;ttada
1574;nnemp;ttada;0,0;Adaptabilidad;todos 2;ttada
1575;tcox;ttada;0,0;Adaptabilidad;todos 2;ttada
1576;ncox;ttada;0,0;Adaptabilidad;todos 2;ttada
1577;nnsup;ttada;0,0;Adaptabilidad;todos 2;ttada
1578;nemp;ttada;0,0;Adaptabilidad;todos 2;ttada
1579;yent;ttada;0,0;Adaptabilidad;todos 2;ttada
1580;nnada;ttada;0,0;Adaptabilidad;todos 2;ttada
1581;tada;tsup;0,420615;Superar metas;todos 1;tsup
1582;tcom;tsup;0,419529;Superar metas;todos 1;tsup
1583;tlid;tsup;0,395985;Superar metas;todos 1;tsup
1584;trel;tsup;0,392834;Superar metas;todos 1;tsup
1585;ttom;tsup;0,386973;Superar metas;todos 1;tsup
1586;tcon;tsup;0,385136;Superar metas;todos 1;tsup
1587;tret;tsup;0,37357;Superar metas;todos 1;tsup
1588;torg;tsup;0,353345;Superar metas;todos 1;tsup
1589;nnret;tsup;0,347683;Superar metas;todos 1;tsup
1590;trit;tsup;0,342866;Superar metas;todos 1;tsup
1591;nncom;tsup;0,331777;Superar metas;todos 1;tsup
1592;nncox;tsup;0,329989;Superar metas;todos 1;tsup
1593;tinn;tsup;0,328393;Superar metas;todos 1;tsup
1594;tcov;tsup;0,323842;Superar metas;todos 1;tsup
1595;tequ;tsup;0,317649;Superar metas;todos 1;tsup
1596;nsup;tsup;0,315917;Superar metas;todos 1;tsup
1597;nnlid;tsup;0,314646;Superar metas;todos 1;tsup
1598;tent;tsup;0,306306;Superar metas;todos 1;tsup
1599;temp;tsup;0,304918;Superar metas;todos 1;tsup
1600;tcox;tsup;0,286686;Superar metas;todos 1;tsup
1601;nnemp;tsup;0,253853;Superar metas;todos 1;tsup
1602;nnpay;tsup;0,245108;Superar metas;todos 1;tsup
1603;tpay;tsup;0,24438;Superar metas;todos 1;tsup
1604;nret;tsup;0,241651;Superar metas;todos 1;tsup
1605;nnrit;tsup;0,24075;Superar metas;todos 1;tsup
1606;nrel;tsup;0,240588;Superar metas;todos 1;tsup
1607;ntom;tsup;0,238158;Superar metas;todos 1;tsup
1608;norg;tsup;0,230789;Superar metas;todos 1;tsup
1609;nlid;tsup;0,223538;Superar metas;todos 1;tsup
1610;edad;tsup;0,221404;Superar metas;todos 1;tsup
1611;nnrec;tsup;0,220854;Superar metas;todos 1;tsup
1612;nent;tsup;0,21704;Superar metas;todos 1;tsup
1613;tpro;tsup;0,216655;Superar metas;todos 1;tsup
1614;nncon;tsup;0,216213;Superar metas;todos 1;tsup
1615;trec;tsup;0,214412;Superar metas;todos 1;tsup
1616;npro;tsup;0,205904;Superar metas;todos 1;tsup
1617;ninn;tsup;0,196893;Superar metas;todos 1;tsup
1618;nnpro;tsup;0,192957;Superar metas;todos 1;tsup
1619;nrec;tsup;0,183916;Superar metas;todos 1;tsup
1620;ycon;tsup;0,182717;Superar metas;todos 1;tsup
1621;yada;tsup;0,180724;Superar metas;todos 1;tsup
1622;nnequ;tsup;0,163312;Superar metas;todos 1;tsup
1623;nemp;tsup;0,163101;Superar metas;todos 1;tsup
1624;nada;tsup;0,158169;Superar metas;todos 1;tsup
1625;nnsup;tsup;0,15178;Superar metas;todos 1;tsup
1626;nrit;tsup;0,149369;Superar metas;todos 1;tsup
1627;nninn;tsup;0,143433;Superar metas;todos 1;tsup
1628;ycom;tsup;0,139644;Superar metas;todos 1;tsup
1629;nnorg;tsup;0,134094;Superar metas;todos 1;tsup
1630;ncon;tsup;0,133921;Superar metas;todos 1;tsup
1631;nnada;tsup;0,133863;Superar metas;todos 1;tsup
1632;ncox;tsup;0,130027;Superar metas;todos 1;tsup
1633;ncom;tsup;0,126488;Superar metas;todos 1;tsup
1634;nequ;tsup;0,124157;Superar metas;todos 1;tsup
1635;estado civil;tsup;0,115341;Superar metas;todos 1;tsup
1636;antigüedad en la organización;tsup;0,10307;Superar metas;todos 1;tsup
1637;ncov;tsup;0,102064;Superar metas;todos 1;tsup
1638;ycov;tsup;0,094813;Superar metas;todos 1;tsup
1639;yrit;tsup;0,084879;Superar metas;todos 1;tsup
1640;nncov;tsup;0,083642;Superar metas;todos 1;tsup
1641;nnrel;tsup;0,061434;Superar metas;todos 1;tsup
1642;antigüedad en el cargo;tsup;0,051187;Superar metas;todos 1;tsup
1643;ypro;tsup;0,050806;Superar metas;todos 1;tsup
1644;yent;tsup;0,023469;Superar metas;todos 1;tsup
1645;npay;tsup;0,021614;Superar metas;todos 1;tsup
1646;ylid;tsup;0,02057;Superar metas;todos 1;tsup
1647;yrec;tsup;0,020017;Superar metas;todos 1;tsup
1648;yinn;tsup;0,012204;Superar metas;todos 1;tsup
1649;yret;tsup;0,0;Superar metas;todos 1;tsup
1650;yorg;tsup;0,0;Superar metas;todos 1;tsup
1651;educacion;tsup;0,0;Superar metas;todos 1;tsup
1652;ypay;tsup;0,0;Superar metas;todos 1;tsup
1653;ycox;tsup;0,0;Superar metas;todos 1;tsup
1654;yequ;tsup;0,0;Superar metas;todos 1;tsup
1655;yrel;tsup;0,0;Superar metas;todos 1;tsup
1656;area;tsup;0,0;Superar metas;todos 1;tsup
1657;ytom;tsup;0,0;Superar metas;todos 1;tsup
1658;yemp;tsup;0,0;Superar metas;todos 1;tsup
1659;nivel del cargo;tsup;0,0;Superar metas;todos 1;tsup
1660;genero;tsup;0,0;Superar metas;todos 1;tsup
1661;hijos;tsup;0,0;Superar metas;todos 1;tsup
1662;ysup;tsup;0,0;Superar metas;todos 1;tsup
1663;nnent;tsup;0,0;Superar metas;todos 1;tsup
1664;nntom;tsup;0,0;Superar metas;todos 1;tsup
1665;npro;nnpro;0,416412;Proposito;nosotros 2;nnpro
1666;nncox;nnpro;0,396042;Proposito;nosotros 2;nnpro
1667;ncom;nnpro;0,284559;Proposito;nosotros 2;nnpro
1668;ylid;nnpro;0,283876;Proposito;nosotros 2;nnpro
1669;nsup;nnpro;0,282701;Proposito;nosotros 2;nnpro
1670;nlid;nnpro;0,246415;Proposito;nosotros 2;nnpro
1671;ntom;nnpro;0,240939;Proposito;nosotros 2;nnpro
1672;norg;nnpro;0,233508;Proposito;nosotros 2;nnpro
1673;ninn;nnpro;0,233285;Proposito;nosotros 2;nnpro
1674;nrec;nnpro;0,230814;Proposito;nosotros 2;nnpro
1675;edad;nnpro;0,221669;Proposito;nosotros 2;nnpro
1676;nret;nnpro;0,202561;Proposito;nosotros 2;nnpro
1677;ncov;nnpro;0,202129;Proposito;nosotros 2;nnpro
1678;ypay;nnpro;0,201865;Proposito;nosotros 2;nnpro
1679;nequ;nnpro;0,200751;Proposito;nosotros 2;nnpro
1680;ycom;nnpro;0,195816;Proposito;nosotros 2;nnpro
1681;nent;nnpro;0,177133;Proposito;nosotros 2;nnpro
1682;nemp;nnpro;0,174648;Proposito;nosotros 2;nnpro
1683;ncon;nnpro;0,170271;Proposito;nosotros 2;nnpro
1684;nada;nnpro;0,167807;Proposito;nosotros 2;nnpro
1685;nrel;nnpro;0,166883;Proposito;nosotros 2;nnpro
1686;yret;nnpro;0,151707;Proposito;nosotros 2;nnpro
1687;ncox;nnpro;0,142113;Proposito;nosotros 2;nnpro
1688;yrec;nnpro;0,133626;Proposito;nosotros 2;nnpro
1689;ycov;nnpro;0,116639;Proposito;nosotros 2;nnpro
1690;nrit;nnpro;0,107801;Proposito;nosotros 2;nnpro
1691;npay;nnpro;0,106821;Proposito;nosotros 2;nnpro
1692;yequ;nnpro;0,102227;Proposito;nosotros 2;nnpro
1693;yinn;nnpro;0,1015;Proposito;nosotros 2;nnpro
1694;educacion;nnpro;0,091577;Proposito;nosotros 2;nnpro
1695;genero;nnpro;0,087306;Proposito;nosotros 2;nnpro
1696;nivel del cargo;nnpro;0,048161;Proposito;nosotros 2;nnpro
1697;nnequ;nnpro;0,042866;Proposito;nosotros 2;nnpro
1698;hijos;nnpro;0,010903;Proposito;nosotros 2;nnpro
1699;ypro;nnpro;0,0;Proposito;nosotros 2;nnpro
1700;yrit;nnpro;0,0;Proposito;nosotros 2;nnpro
1701;antigüedad en el cargo;nnpro;0,0;Proposito;nosotros 2;nnpro
1702;ycox;nnpro;0,0;Proposito;nosotros 2;nnpro
1703;ycon;nnpro;0,0;Proposito;nosotros 2;nnpro
1704;antigüedad en la organización;nnpro;0,0;Proposito;nosotros 2;nnpro
1705;yrel;nnpro;0,0;Proposito;nosotros 2;nnpro
1706;yada;nnpro;0,0;Proposito;nosotros 2;nnpro
1707;ytom;nnpro;0,0;Proposito;nosotros 2;nnpro
1708;yemp;nnpro;0,0;Proposito;nosotros 2;nnpro
1709;area;nnpro;0,0;Proposito;nosotros 2;nnpro
1710;yorg;nnpro;0,0;Proposito;nosotros 2;nnpro
1711;yent;nnpro;0,0;Proposito;nosotros 2;nnpro
1712;ysup;nnpro;0,0;Proposito;nosotros 2;nnpro
1713;estado civil;nnpro;0,0;Proposito;nosotros 2;nnpro
1714;torg;tinn;0,414822;Innovacion;todos 1;tinn
1715;tlid;tinn;0,363947;Innovacion;todos 1;tinn
1716;tcom;tinn;0,345236;Innovacion;todos 1;tinn
1717;tpay;tinn;0,310431;Innovacion;todos 1;tinn
1718;tpro;tinn;0,293846;Innovacion;todos 1;tinn
1719;tcon;tinn;0,293332;Innovacion;todos 1;tinn
1720;nsup;tinn;0,290115;Innovacion;todos 1;tinn
1721;nada;tinn;0,288775;Innovacion;todos 1;tinn
1722;yemp;tinn;0,261529;Innovacion;todos 1;tinn
1723;nnemp;tinn;0,258493;Innovacion;todos 1;tinn
1724;educacion;tinn;0,251757;Innovacion;todos 1;tinn
1725;nnrec;tinn;0,249084;Innovacion;todos 1;tinn
1726;norg;tinn;0,247805;Innovacion;todos 1;tinn
1727;nnlid;tinn;0,23993;Innovacion;todos 1;tinn
1728;nncox;tinn;0,232727;Innovacion;todos 1;tinn
1729;tequ;tinn;0,230423;Innovacion;todos 1;tinn
1730;ntom;tinn;0,227365;Innovacion;todos 1;tinn
1731;npro;tinn;0,227006;Innovacion;todos 1;tinn
1732;tent;tinn;0,218024;Innovacion;todos 1;tinn
1733;tcov;tinn;0,201729;Innovacion;todos 1;tinn
1734;nlid;tinn;0,198596;Innovacion;todos 1;tinn
1735;nncom;tinn;0,1898;Innovacion;todos 1;tinn
1736;trit;tinn;0,188292;Innovacion;todos 1;tinn
1737;tret;tinn;0,186829;Innovacion;todos 1;tinn
1738;ylid;tinn;0,182632;Innovacion;todos 1;tinn
1739;trec;tinn;0,181662;Innovacion;todos 1;tinn
1740;nnpro;tinn;0,180205;Innovacion;todos 1;tinn
1741;nret;tinn;0,177666;Innovacion;todos 1;tinn
1742;tcox;tinn;0,175766;Innovacion;todos 1;tinn
1743;yent;tinn;0,172515;Innovacion;todos 1;tinn
1744;yrit;tinn;0,169362;Innovacion;todos 1;tinn
