index,y1,y2,y3,y4,y5,y6,y7,y8,y10,y11,y12,y14,y15,y17,y19,y20,y22,y23,y26,n27,n28,n29,n30,n31,n32,n33,n34,n36,n37,n38,n40,n41,n43,n45,n46,n48,n49,n52,n53,n54,n55,n56,n57,n58,n59,n60,n62,n63,n64,n66,n67,n69,n71,n72,n74,n75,n78,t79,t80,t81,t82,t83,t84,t85,t86,t88,t89,t90,t92,t93,t95,t97,t98,t100,t101,t104,t105,t106,t107,t108,t109,t110,t111,t112,t114,t115,t116,t118,t119,t121,t123,t124,t126,t127,t130
decspnb0qeyv5rtmeujdecspnbnp6sz5,4.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
swyqnzkhbqizyn42ltxswyqnzkhomax5,4.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0aun3yamchny0a0m2kzgk4x0a1bt00m2,4.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,4.0,3.0,5.0,2.0,2.0,5.0
nny028a5mzde88glxy5dnny028nah63j,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0
3d8v4e8ftfqn239le23d8v4epwjz2278,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
ri1z4lwdbl8ts7085ori1z4qgn9kxj95,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0
2u1d4lb5e584xftr2u05m4ei9t9xq1or,4.0,2.0,5.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
chytwzd5mc09lvbgn1chytwglegywk9b,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
b7in4jk7swzgxfpbybwb7in3giq4nl8b,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,5.0,1.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0
tk24wigv3eg4stk2470w2hljssvi8ugp,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
